campaign,station,deployment,segment,n_images,camera_start,camera_end,reason,candidate_frames,person_vehicle_frames,mmdd_mismatch,mismatch_at_midnight,mismatch_verdict,coherent,recoverable_by_anchor
otono_2025,CT19,CT19,21,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,22,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,23,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,24,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,25,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,26,6,2017-01-01 00:00:00,2017-01-01 20:00:38,filename_mmdd_disagrees_with_datetime,2,0,2,0,GENUINE (2 of 2 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,27,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,28,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,29,4,2017-01-01 00:00:00,2017-01-02 10:23:54,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,30,11,2017-01-01 00:00:00,2017-01-03 21:47:56,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,31,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,32,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,33,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,34,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,35,20,2017-01-01 00:00:00,2017-01-03 06:05:59,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,36,16,2017-01-01 00:00:00,2017-01-01 15:20:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,37,17,2017-01-01 00:00:00,2017-01-04 08:15:14,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,38,6,2017-01-01 00:00:00,2017-01-01 00:04:03,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,39,8,2017-01-01 00:00:00,2017-01-01 01:56:49,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,40,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,41,17,2017-01-01 00:00:00,2017-01-03 08:13:23,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,42,34,2017-01-01 00:00:00,2017-01-01 10:13:38,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,43,4,2017-01-01 00:00:00,2017-01-01 00:04:47,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,44,6,2017-01-01 00:00:00,2017-01-01 01:43:19,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,45,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,46,4,2017-01-01 00:00:00,2017-01-01 11:31:20,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,47,19,2017-01-01 00:00:00,2017-01-01 01:15:03,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,48,12,2017-01-01 00:00:00,2017-01-01 05:57:54,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,49,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,50,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,51,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,52,5,2017-01-01 00:00:00,2017-01-01 00:24:41,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,53,4,2017-01-01 00:00:00,2017-01-01 12:41:55,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,54,5,2017-01-01 00:00:00,2017-01-01 00:00:09,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,55,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,56,6,2017-01-01 00:00:00,2017-01-01 15:24:06,filename_mmdd_disagrees_with_datetime,2,0,4,0,GENUINE (4 of 4 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,57,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,58,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,59,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,60,4,2017-01-01 00:00:00,2017-01-01 00:08:09,filename_mmdd_disagrees_with_datetime,2,0,2,0,GENUINE (2 of 2 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,61,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,62,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,63,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,64,4,2017-01-01 00:00:00,2017-01-01 00:00:08,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,65,6,2017-01-01 00:00:00,2017-01-01 14:07:13,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
