deployment,dcim_folder,original_name,original_relpath,flat_name,size_bytes,mtime,action
CT02,100EK113,08280099.JPG,100EK113\08280099.JPG,08280099.JPG,4182229,2025-08-28 19:57:48,moved
CT02,100EK113,08280100.MOV,100EK113\08280100.MOV,08280100.MOV,92355096,2025-08-28 19:58:07,moved
CT02,100EK113,08280101.JPG,100EK113\08280101.JPG,08280101.JPG,4178940,2025-08-28 20:00:14,moved
CT02,100EK113,08280102.JPG,100EK113\08280102.JPG,08280102.JPG,4173213,2025-08-28 20:00:14,moved
CT02,100EK113,08280103.JPG,100EK113\08280103.JPG,08280103.JPG,4171817,2025-08-28 20:00:16,moved
CT02,100EK113,08280104.MOV,100EK113\08280104.MOV,08280104.MOV,88355505,2025-08-28 20:00:32,moved
CT02,100EK113,08280105.JPG,100EK113\08280105.JPG,08280105.JPG,4157052,2025-08-28 20:01:24,moved
CT02,100EK113,08280106.JPG,100EK113\08280106.JPG,08280106.JPG,4153064,2025-08-28 20:01:26,moved
CT02,100EK113,08280107.JPG,100EK113\08280107.JPG,08280107.JPG,4148431,2025-08-28 20:01:26,moved
CT02,100EK113,08280108.MOV,100EK113\08280108.MOV,08280108.MOV,87688235,2025-08-28 20:01:42,moved
CT02,100EK113,08280109.JPG,100EK113\08280109.JPG,08280109.JPG,4140277,2025-08-28 20:02:03,moved
CT02,100EK113,08280110.JPG,100EK113\08280110.JPG,08280110.JPG,4144404,2025-08-28 20:02:02,moved
CT02,100EK113,08280111.JPG,100EK113\08280111.JPG,08280111.JPG,4139637,2025-08-28 20:02:02,moved
CT02,100EK113,08280112.MOV,100EK113\08280112.MOV,08280112.MOV,87760501,2025-08-28 20:02:20,moved
CT02,100EK113,08290113.JPG,100EK113\08290113.JPG,08290113.JPG,4277204,2025-08-29 01:52:32,moved
CT02,100EK113,08290114.JPG,100EK113\08290114.JPG,08290114.JPG,4278099,2025-08-29 01:52:34,moved
CT02,100EK113,08290115.JPG,100EK113\08290115.JPG,08290115.JPG,4271095,2025-08-29 01:52:34,moved
CT02,100EK113,08290116.MOV,100EK113\08290116.MOV,08290116.MOV,88920295,2025-08-29 01:52:51,moved
CT02,100EK113,08290117.JPG,100EK113\08290117.JPG,08290117.JPG,4256602,2025-08-29 01:52:54,moved
CT02,100EK113,08290118.JPG,100EK113\08290118.JPG,08290118.JPG,4250396,2025-08-29 01:52:54,moved
CT02,100EK113,08290119.JPG,100EK113\08290119.JPG,08290119.JPG,4251394,2025-08-29 01:52:57,moved
CT02,100EK113,08290120.MOV,100EK113\08290120.MOV,08290120.MOV,86864294,2025-08-29 01:53:12,moved
CT02,100EK113,08290121.JPG,100EK113\08290121.JPG,08290121.JPG,5494482,2025-08-29 15:43:02,moved
CT02,100EK113,08290122.JPG,100EK113\08290122.JPG,08290122.JPG,5489120,2025-08-29 15:43:05,moved
CT02,100EK113,08290123.JPG,100EK113\08290123.JPG,08290123.JPG,5505207,2025-08-29 15:43:04,moved
CT02,100EK113,08290124.MOV,100EK113\08290124.MOV,08290124.MOV,112049510,2025-08-29 15:43:20,moved
CT02,100EK113,08290125.JPG,100EK113\08290125.JPG,08290125.JPG,4233472,2025-08-29 21:14:06,moved
CT02,100EK113,08290126.JPG,100EK113\08290126.JPG,08290126.JPG,4228024,2025-08-29 21:14:06,moved
CT02,100EK113,08290127.JPG,100EK113\08290127.JPG,08290127.JPG,4240626,2025-08-29 21:14:08,moved
CT02,100EK113,08290128.MOV,100EK113\08290128.MOV,08290128.MOV,88417999,2025-08-29 21:14:24,moved
CT02,100EK113,08300129.JPG,100EK113\08300129.JPG,08300129.JPG,4251403,2025-08-30 00:14:14,moved
CT02,100EK113,08300130.JPG,100EK113\08300130.JPG,08300130.JPG,4253279,2025-08-30 00:14:14,moved
CT02,100EK113,08300131.JPG,100EK113\08300131.JPG,08300131.JPG,4264357,2025-08-30 00:14:16,moved
CT02,100EK113,08300132.MOV,100EK113\08300132.MOV,08300132.MOV,88472012,2025-08-30 00:14:34,moved
CT02,100EK113,09040133.JPG,100EK113\09040133.JPG,09040133.JPG,5646349,2025-09-04 14:37:35,moved
CT02,100EK113,09040134.JPG,100EK113\09040134.JPG,09040134.JPG,5754532,2025-09-04 14:37:37,moved
CT02,100EK113,09040135.JPG,100EK113\09040135.JPG,09040135.JPG,5645568,2025-09-04 14:37:36,moved
CT02,100EK113,09040136.MOV,100EK113\09040136.MOV,09040136.MOV,113342044,2025-09-04 14:37:53,moved
CT02,100EK113,09040137.JPG,100EK113\09040137.JPG,09040137.JPG,5640673,2025-09-04 14:57:58,moved
CT02,100EK113,09040138.JPG,100EK113\09040138.JPG,09040138.JPG,5627731,2025-09-04 14:58:01,moved
