campaign,camera_num,Deployments,scientificName,timestamp,timestamp_corrected,date_fix,File,filePath,thumbnail_path,thumbnail_on_disk,observationComments,reviewOutcome,label_conflict_pv_vs_primavera,conflict_other_label
otono_2025,15.0,CT15,Cervus elaphus,2017-01-29 15:21:02,2025-01-29 15:21:02,+8yr,01290209.JPG,CT15\01290209.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Ciervo_rojo_Cervus_elaphus\CT15_01290209.jpg,True,Ciervo rojo,corrected,False,
primavera_2025,20.0,TC20_M17.2,Cervus elaphus,2025-11-14 05:05:04,2025-11-14 05:05:04,none,11140392.JPG,TC20_M17.2\11140392.JPG,,False,Ciervo rojo,corrected,True,primavera=Cervus elaphus | pv=Puma concolor
otono_2025,3.0,CT03,Leopardus guigna,2024-10-18 12:22:20,2024-10-18 12:22:20,none,10180013.JPG,CT03\10180013.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Guina_Leopardus_guigna\CT03_10180013.jpg,True,Guiña,corrected,False,
otono_2025,3.0,CT03,Leopardus guigna,2024-10-18 12:22:21,2024-10-18 12:22:21,none,10180014.JPG,CT03\10180014.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Guina_Leopardus_guigna\CT03_10180014.jpg,True,Guiña,confirmed,False,
pv_2025_2026,5.0,TC5_M9.2,Leopardus guigna,2025-07-11 20:24:09,2025-07-11 20:24:09,none,07110001.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Guina_Leopardus_guigna\TC5_M9_2_07110001.jpg,True,Guiña,corrected,False,
pv_2025_2026,5.0,TC5_M9.2,Leopardus guigna,2025-08-30 02:38:10,2025-08-30 02:38:10,none,08300093.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Guina_Leopardus_guigna\TC5_M9_2_08300093.jpg,False,Guiña,corrected,False,
pv_2025_2026,5.0,TC5_M9.2,Leopardus guigna,2025-10-18 23:37:43,2025-10-18 23:37:43,none,10180169.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Guina_Leopardus_guigna\TC5_M9_2_10180169.jpg,True,Guiña,corrected,False,
pv_2025_2026,5.0,TC5_M9.2,Leopardus guigna,2025-10-18 23:37:44,2025-10-18 23:37:44,none,10180170.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Guina_Leopardus_guigna\TC5_M9_2_10180170.jpg,False,Guiña,confirmed,False,
pv_2025_2026,5.0,TC5_M9.2,Leopardus guigna,2025-10-30 20:59:53,2025-10-30 20:59:53,none,10300189.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Guina_Leopardus_guigna\TC5_M9_2_10300189.jpg,True,Guiña,confirmed,False,
otono_2025,8.0,CT08,Leopardus guigna,2024-09-26 05:30:04,2024-09-26 05:30:04,none,09260026.JPG,CT08\09260026.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Guina_Leopardus_guigna\CT08_09260026.jpg,True,Guiña,corrected,False,
otono_2025,8.0,CT08,Leopardus guigna,2024-11-26 22:13:06,2024-11-26 22:13:06,none,11260099.JPG,CT08\11260099.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Guina_Leopardus_guigna\CT08_11260099.jpg,False,Guiña,corrected,False,
pv_2025_2026,14.0,TC14_M11.2,Leopardus guigna,2026-01-03 15:30:01,2026-01-03 15:30:01,none,01030967.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Guina_Leopardus_guigna\TC14_M11_2_01030967.jpg,False,Guiña,corrected,False,
otono_2025,16.0,CT16,Leopardus guigna,2017-01-03 20:38:07,2025-01-03 20:38:07,+8yr,09100029.JPG,CT16\09100029.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Guina_Leopardus_guigna\CT16_09100029.jpg,True,Guiña,corrected,False,
otono_2025,16.0,CT16,Leopardus guigna,2017-01-03 20:38:08,2025-01-03 20:38:08,+8yr,09100030.JPG,CT16\09100030.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Guina_Leopardus_guigna\CT16_09100030.jpg,True,Guiña,corrected,False,
otono_2025,16.0,CT16,Leopardus guigna,2017-02-06 06:29:27,2025-02-06 06:29:27,+8yr,02060086.JPG,CT16\02060086.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Guina_Leopardus_guigna\CT16_02060086.jpg,False,Guiña,corrected,False,
