deployment,dcim_folder,original_name,original_relpath,flat_name,size_bytes,mtime,action
CT14,100EK113,01080121.JPG,100EK113\01080121.JPG,01080121.JPG,6197219,2026-01-08 17:36:02,moved
CT14,100EK113,01080122.JPG,100EK113\01080122.JPG,01080122.JPG,6159400,2026-01-08 17:36:02,moved
CT14,100EK113,01080123.JPG,100EK113\01080123.JPG,01080123.JPG,6190403,2026-01-08 17:36:02,moved
CT14,100EK113,01080124.JPG,100EK113\01080124.JPG,01080124.JPG,6160238,2026-01-08 17:37:00,moved
CT14,100EK113,01080125.JPG,100EK113\01080125.JPG,01080125.JPG,6167827,2026-01-08 17:37:02,moved
CT14,100EK113,01080126.JPG,100EK113\01080126.JPG,01080126.JPG,6163587,2026-01-08 17:37:02,moved
CT14,100EK113,01080127.JPG,100EK113\01080127.JPG,01080127.JPG,5857645,2026-01-08 17:38:00,moved
CT14,100EK113,01080128.JPG,100EK113\01080128.JPG,01080128.JPG,5817174,2026-01-08 17:38:03,moved
CT14,100EK113,01080129.JPG,100EK113\01080129.JPG,01080129.JPG,5784731,2026-01-08 17:38:02,moved
CT14,100EK113,01080130.JPG,100EK113\01080130.JPG,01080130.JPG,5709256,2026-01-08 17:39:00,moved
CT14,100EK113,01080131.JPG,100EK113\01080131.JPG,01080131.JPG,6242943,2026-01-08 17:39:00,moved
CT14,100EK113,01080132.JPG,100EK113\01080132.JPG,01080132.JPG,5809925,2026-01-08 17:39:02,moved
CT14,100EK113,01080133.JPG,100EK113\01080133.JPG,01080133.JPG,5758095,2026-01-08 17:40:03,moved
CT14,100EK113,01080134.JPG,100EK113\01080134.JPG,01080134.JPG,5766376,2026-01-08 17:40:02,moved
CT14,100EK113,01080135.JPG,100EK113\01080135.JPG,01080135.JPG,5779442,2026-01-08 17:40:02,moved
CT14,100EK113,01080136.JPG,100EK113\01080136.JPG,01080136.JPG,6243628,2026-01-08 17:41:03,moved
CT14,100EK113,01080137.JPG,100EK113\01080137.JPG,01080137.JPG,6260148,2026-01-08 17:41:02,moved
CT14,100EK113,01080138.JPG,100EK113\01080138.JPG,01080138.JPG,5727044,2026-01-08 17:41:02,moved
CT14,100EK113,01080139.JPG,100EK113\01080139.JPG,01080139.JPG,5761807,2026-01-08 17:42:00,moved
CT14,100EK113,01080140.JPG,100EK113\01080140.JPG,01080140.JPG,5754113,2026-01-08 17:42:03,moved
CT14,100EK113,01080141.JPG,100EK113\01080141.JPG,01080141.JPG,5766984,2026-01-08 17:42:02,moved
CT14,100EK113,01080142.JPG,100EK113\01080142.JPG,01080142.JPG,5776847,2026-01-08 17:43:00,moved
CT14,100EK113,01080143.JPG,100EK113\01080143.JPG,01080143.JPG,5770799,2026-01-08 17:43:03,moved
CT14,100EK113,01080144.JPG,100EK113\01080144.JPG,01080144.JPG,5760468,2026-01-08 17:43:02,moved
CT14,100EK113,01080145.JPG,100EK113\01080145.JPG,01080145.JPG,5879378,2026-01-08 17:44:00,moved
CT14,100EK113,01080146.JPG,100EK113\01080146.JPG,01080146.JPG,5910477,2026-01-08 17:44:03,moved
CT14,100EK113,01080147.JPG,100EK113\01080147.JPG,01080147.JPG,5884592,2026-01-08 17:44:02,moved
CT14,100EK113,01080148.JPG,100EK113\01080148.JPG,01080148.JPG,5845545,2026-01-08 17:45:03,moved
CT14,100EK113,01080149.JPG,100EK113\01080149.JPG,01080149.JPG,5849694,2026-01-08 17:45:02,moved
CT14,100EK113,01080150.JPG,100EK113\01080150.JPG,01080150.JPG,5812685,2026-01-08 17:45:02,moved
CT14,100EK113,01080151.JPG,100EK113\01080151.JPG,01080151.JPG,5739750,2026-01-08 17:46:00,moved
CT14,100EK113,01080152.JPG,100EK113\01080152.JPG,01080152.JPG,5777383,2026-01-08 17:46:03,moved
CT14,100EK113,01080153.JPG,100EK113\01080153.JPG,01080153.JPG,5767472,2026-01-08 17:46:02,moved
CT14,100EK113,01080154.JPG,100EK113\01080154.JPG,01080154.JPG,6253935,2026-01-08 17:47:03,moved
CT14,100EK113,01080155.JPG,100EK113\01080155.JPG,01080155.JPG,6272174,2026-01-08 17:47:02,moved
CT14,100EK113,01080156.JPG,100EK113\01080156.JPG,01080156.JPG,5764287,2026-01-08 17:47:02,moved
CT14,100EK113,01080157.JPG,100EK113\01080157.JPG,01080157.JPG,5815353,2026-01-08 17:48:00,moved
CT14,100EK113,01080158.JPG,100EK113\01080158.JPG,01080158.JPG,5804444,2026-01-08 17:48:03,moved
