deployment,original_path,new_path,action
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080056.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080056.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080057.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080057.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080058.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080058.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080059.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080059.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080060.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080060.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080061.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080061.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080062.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080062.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080063.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080063.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080064.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080064.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080065.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080065.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080066.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080066.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080067.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080067.JPG,moved
